Image,Cars,PSNR,SSIM,BRISQUE,Brightness,Contrast,Noise
4_2_bad.jpg,58,22.162888736669466,0.7770315191806553,6.626485155548011,0,20,8.5
4_2_bad.jpg,58,22.12124886925873,0.7682552693096846,7.19808051503523,0,20,9.0
4_2_bad.jpg,58,22.077211919131003,0.7595729889427288,7.847734010652033,0,20,9.5
4_2_bad.jpg,57,22.03219981812563,0.7510054431763621,8.542834978307354,0,20,10.0
4_2_bad.jpg,57,21.984727706707446,0.7425511962216944,9.220138274966047,0,20,10.5
4_2_bad.jpg,50,20.910518160454853,0.8209791703049197,11.192887352561087,0,25,0.0
4_2_bad.jpg,50,20.910586952490537,0.8209660838304954,11.176320734868426,0,25,0.5
4_2_bad.jpg,51,20.903992335324766,0.820815042187732,11.181832738542965,0,25,1.0
4_2_bad.jpg,51,20.889523124025857,0.8208759977013725,10.989171890107599,0,25,1.5
4_2_bad.jpg,51,20.87630125182743,0.8224487070368294,9.534562987816656,0,25,2.0
4_2_bad.jpg,51,20.864492864400788,0.8232371519958561,7.6330338024189075,0,25,2.5
4_2_bad.jpg,51,20.849673354271616,0.8208436195373,6.078930841623759,0,25,3.0
4_2_bad.jpg,52,20.831565219207263,0.8163774798857057,5.396850335142943,0,25,3.5
4_2_bad.jpg,52,20.812193807764608,0.8108999381043657,5.144379181918538,0,25,4.0
4_2_bad.jpg,52,20.791522837888504,0.8050512621277921,5.215946472094373,0,25,4.5
4_2_bad.jpg,52,20.770173839842453,0.7986855059157099,5.543015527689107,0,25,5.0
4_2_bad.jpg,52,20.748993169956332,0.7919987241406194,5.948499691568003,0,25,5.5
4_2_bad.jpg,53,20.72631947311338,0.784800143903107,6.449636320869416,0,25,6.0
4_2_bad.jpg,55,20.703291391723205,0.7772031987328293,7.11815728493886,0,25,6.5
4_2_bad.jpg,56,20.678846969929758,0.7692989456332882,7.707576368781673,0,25,7.0
4_2_bad.jpg,56,20.653638813202143,0.761119667478192,8.324235406111,0,25,7.5
4_2_bad.jpg,57,20.627054854424212,0.7527861319850908,8.938106176432456,0,25,8.0
4_2_bad.jpg,57,20.59938144243834,0.7443745529522026,9.690008553018373,0,25,8.5
4_2_bad.jpg,57,20.57053081802053,0.7360201313521567,10.293678578832527,0,25,9.0
4_2_bad.jpg,58,20.539691587312493,0.7277271464149313,10.998676035400848,0,25,9.5
4_2_bad.jpg,57,20.508271422839904,0.7194745552520454,11.817467430469577,0,25,10.0
4_2_bad.jpg,57,20.47492822374439,0.7113445658513115,12.556107757849617,0,25,10.5
4_2_bad.jpg,51,19.507830921045983,0.7738622469365855,11.4101758109434,0,30,0.0
4_2_bad.jpg,51,19.507993848317795,0.7738583741376515,11.384491038368623,0,30,0.5
4_2_bad.jpg,51,19.50300825662363,0.7737411900569421,11.363181528614263,0,30,1.0
4_2_bad.jpg,51,19.49193238633644,0.7738928002949552,11.143942414308611,0,30,1.5
4_2_bad.jpg,49,19.482996846417056,0.7762177512177485,9.82139527429726,0,30,2.0
4_2_bad.jpg,49,19.47697937745671,0.7786148699125504,8.333452957854632,0,30,2.5
4_2_bad.jpg,50,19.46931982604495,0.778120006215662,7.202224766367152,0,30,3.0
4_2_bad.jpg,52,19.45873624978164,0.7754847008864857,6.988133553791471,0,30,3.5
4_2_bad.jpg,51,19.446707871535523,0.7716403316074283,7.182706901467981,0,30,4.0
