Image,Cars,PSNR,SSIM,Brightness,Contrast,Noise
4_2_bad.jpg,52,28.251971589663924,0.9582917087343424,0,10,0.0
4_2_bad.jpg,52,28.251846536253716,0.958291687751094,0,10,0.5
4_2_bad.jpg,52,28.22440725833261,0.9582014080442854,0,10,1.0
4_2_bad.jpg,53,28.164530076932216,0.9580119959136196,0,10,1.5
4_2_bad.jpg,53,28.09401625921926,0.9573311684557707,0,10,2.0
4_2_bad.jpg,52,28.0107067008501,0.9536942049252438,0,10,2.5
4_2_bad.jpg,51,27.909973048026572,0.9464455496260525,0,10,3.0
4_2_bad.jpg,51,27.79942975050907,0.9375006440867568,0,10,3.5
4_2_bad.jpg,51,27.688481169964447,0.9280725001206108,0,10,4.0
4_2_bad.jpg,52,27.579645632791213,0.9188223000117952,0,10,4.5
4_2_bad.jpg,51,27.47177001872886,0.9095244102556469,0,10,5.0
4_2_bad.jpg,51,27.36545048660031,0.9002189807812607,0,10,5.5
4_2_bad.jpg,51,27.256153162074188,0.8907201446225614,0,10,6.0
4_2_bad.jpg,53,27.145899733758938,0.8811608280787906,0,10,6.5
4_2_bad.jpg,53,27.033095857044174,0.8716271212990274,0,10,7.0
4_2_bad.jpg,54,26.91890741017076,0.86204460333061,0,10,7.5
4_2_bad.jpg,55,26.802222087374282,0.8525768977464331,0,10,8.0
4_2_bad.jpg,55,26.683603099016775,0.8432160192512166,0,10,8.5
4_2_bad.jpg,56,26.563396876906754,0.8340427932148154,0,10,9.0
4_2_bad.jpg,58,26.439787495506796,0.8250266203711065,0,10,9.5
4_2_bad.jpg,57,26.314652301014153,0.8161418193426511,0,10,10.0
4_2_bad.jpg,56,26.186437639068686,0.8074106552972841,0,10,10.5
4_2_bad.jpg,50,24.941312896733407,0.9153619282380323,0,15,0.0
4_2_bad.jpg,50,24.941434182938792,0.9153548228262143,0,15,0.5
4_2_bad.jpg,51,24.92761463692274,0.9152741268051616,0,15,1.0
4_2_bad.jpg,50,24.896401603809302,0.9151699325856384,0,15,1.5
4_2_bad.jpg,52,24.861997384581244,0.9152271449792954,0,15,2.0
4_2_bad.jpg,51,24.824041526987042,0.9129985114023382,0,15,2.5
4_2_bad.jpg,51,24.77740995353647,0.9072495287257839,0,15,3.0
4_2_bad.jpg,51,24.72402130016104,0.8996222607673203,0,15,3.5
4_2_bad.jpg,51,24.669576279607107,0.891361318247138,0,15,4.0
4_2_bad.jpg,51,24.614948641978202,0.883074802605449,0,15,4.5
4_2_bad.jpg,52,24.560093960293734,0.874622332142245,0,15,5.0
4_2_bad.jpg,53,24.50585251321641,0.8660659493107645,0,15,5.5
4_2_bad.jpg,53,24.449754764558538,0.8572315352990161,0,15,6.0
4_2_bad.jpg,54,24.392518408168687,0.8481860271879332,0,15,6.5
4_2_bad.jpg,55,24.33326742427427,0.8391051489723704,0,15,7.0
4_2_bad.jpg,56,24.273131715278446,0.8298977468650458,0,15,7.5
4_2_bad.jpg,56,24.210842941937578,0.8207180340644719,0,15,8.0
4_2_bad.jpg,58,24.146780310808097,0.8115748811081099,0,15,8.5
4_2_bad.jpg,58,24.081154823225653,0.8025481979161394,0,15,9.0
4_2_bad.jpg,58,24.01254654215834,0.7936501056202154,0,15,9.5
4_2_bad.jpg,57,23.942631562843964,0.784871900400814,0,15,10.0
4_2_bad.jpg,57,23.869713013356595,0.7762401902264106,0,15,10.5
4_2_bad.jpg,51,22.642089356675573,0.8681950633151347,0,20,0.0
4_2_bad.jpg,51,22.642246007338038,0.8681901378542111,0,20,0.5
4_2_bad.jpg,51,22.633280674051814,0.8680928545770958,0,20,1.0
